id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
50904,aplace/antwerp: cosy suite - fashion district,234077,Karin,,Historisch Centrum,51.21858,4.3985,Hotel room,145,1,1,2015-05-06,0.02,4,265
116134,Trendy Vacation Apartment Antwerp,586942,Paul,,Eilandje,51.23051,4.40593,Entire home/apt,150,2,99,2020-02-16,0.98,1,314
224333,Large stylish room in 1930s house + garden,1167377,Geert,,Deurne Zuid West,51.19772,4.45853,Private room,16,14,1,2011-09-19,0.01,2,353
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,1263933,Kristien,,Sint-Andries,51.21722,4.3979,Entire home/apt,105,2,336,2020-03-08,3.31,1,325
328911,Large Modern Apt W Great Park Views,1263814,Tinne,,Stadspark,51.21078,4.4105,Entire home/apt,55,15,59,2019-10-30,0.58,1,2
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.19935,4.40154,Entire home/apt,45,3,54,2020-02-21,0.55,2,0
366252,ROOM IN FAMILY HOME near C. Station,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21601,4.43432,Private room,31,1,104,2019-09-15,1.04,4,0
445201,ROOM in FAMILY HOME near Central Sation,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21579,4.43265,Private room,30,5,54,2019-12-21,0.55,4,360
465282,Romantic Cheap Appartment Antwerp ,2311105,Ramona,,Harmonie,51.2014,4.40649,Entire home/apt,48,2,16,2015-05-19,0.17,1,0
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.22001,4.39813,Entire home/apt,195,2,2,2017-10-27,0.04,1,365
553618,NEW YORK STYLE LOFT IN ANTWERP,2283505,Kevin,,Eilandje,51.23183,4.40478,Entire home/apt,150,2,2,2013-12-12,0.02,1,339
569956,2p Flat in Antwerp's City Center,2804839,Nele,,Historisch Centrum,51.22397,4.40464,Entire home/apt,60,2,7,2019-08-28,0.10,2,0
573641,Design Apartment Near The Center!,2822632,Ariane,,Hoogte,51.18187,4.39381,Entire home/apt,98,3,21,2019-02-26,0.22,2,364
575935,"Room in Cosy Design Duplex, Antwerp",1128692,Larissa,,Hoogte,51.18152,4.39463,Private room,60,2,36,2020-03-08,0.37,1,0
603545,*Perfect* for a Longer Stay | Trendy | City center,2987880,Serge,,Harmonie,51.20753,4.40589,Entire home/apt,150,2,21,2020-06-17,0.23,1,349
636664,"sunny rooftop apartment, sleeps 2-5",462975,Els,,Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,85,2,81,2020-03-15,0.85,1,352
639013,The chill place in Antwerp 1,3189018,Cathy,,Borgerhout Intra Muros Noord,51.21748,4.4456,Private room,85,2,34,2018-07-22,0.36,3,326
685049,Stylish decorated  room in 'art nouveau house',3493319,Glenn,,Oud - Berchem,51.19589,4.41443,Private room,65,2,5,2020-02-24,0.07,2,364
685053,"fantastic room in ""Art Nouveau""house",3493319,Glenn,,Oud - Berchem,51.19482,4.41339,Private room,120,2,0,,,2,0
